Имя файла (SKU.jpg),Бренд,Серия,BTU
THK-AERONIK-001.jpg,AERONIK,Сплит системы (HS5) серия SUPER,7000
THK-AERONIK-016.jpg,AERONIK,Сплит системы инверторные (IU2) серия ANTIVIRUS,7000
THK-AERONIK-021.jpg,AERONIK,Сплит системы инверторные (ILK3) серия LEGEND,7000
THK-AERONIK-026.jpg,AERONIK,Сплит системы инверторные (IM) серия SUPERIONIZER,7000
THK-AERONIK-002.jpg,AERONIK,Сплит системы (HS5) серия SUPER,9000
THK-AERONIK-008.jpg,AERONIK,Сплит системы инверторные (IZ1) серия ZIMA (НОВИНКА!),9000
THK-AERONIK-012.jpg,AERONIK,Сплит системы инверторные ( IU3) серия (Antivirus) (НОВИНКА!),9000
THK-AERONIK-017.jpg,AERONIK,Сплит системы инверторные (IU2) серия ANTIVIRUS,9000
THK-AERONIK-022.jpg,AERONIK,Сплит системы инверторные (ILK3) серия LEGEND,9000
THK-AERONIK-027.jpg,AERONIK,Сплит системы инверторные (IM) серия SUPERIONIZER,9000
THK-AERONIK-003.jpg,AERONIK,Сплит системы (HS5) серия SUPER,12000
THK-AERONIK-009.jpg,AERONIK,Сплит системы инверторные (IZ1) серия ZIMA (НОВИНКА!),12000
THK-AERONIK-013.jpg,AERONIK,Сплит системы инверторные ( IU3) серия (Antivirus) (НОВИНКА!),12000
THK-AERONIK-018.jpg,AERONIK,Сплит системы инверторные (IU2) серия ANTIVIRUS,12000
THK-AERONIK-023.jpg,AERONIK,Сплит системы инверторные (ILK3) серия LEGEND,12000
THK-AERONIK-028.jpg,AERONIK,Сплит системы инверторные (IM) серия SUPERIONIZER,12000
THK-AERONIK-059.jpg,AERONIK,ASI-AKH35R1/B-S INV/ ASO-AGUHN35R1/INV,12000
THK-AERONIK-070.jpg,AERONIK,ASI-ATH35RD1/B-S INV/ASO-AGUHN35R1/INV,12000
THK-AERONIK-060.jpg,AERONIK,ASI-AKH50R1/B-S INV/ ASO-AGUHN50R1/INV,17000
THK-AERONIK-004.jpg,AERONIK,Сплит системы (HS5) серия SUPER,18000
THK-AERONIK-010.jpg,AERONIK,Сплит системы инверторные (IZ1) серия ZIMA (НОВИНКА!),18000
THK-AERONIK-014.jpg,AERONIK,Сплит системы инверторные ( IU3) серия (Antivirus) (НОВИНКА!),18000
THK-AERONIK-019.jpg,AERONIK,Сплит системы инверторные (IU2) серия ANTIVIRUS,18000
THK-AERONIK-024.jpg,AERONIK,Сплит системы инверторные (ILK3) серия LEGEND,18000
THK-AERONIK-029.jpg,AERONIK,Сплит системы инверторные (IM) серия SUPERIONIZER,18000
THK-AERONIK-052.jpg,AERONIK,ASI-AFH50RS1/B-S INV/ASO-AGUHN50R1/INV,18000
THK-AERONIK-071.jpg,AERONIK,ASI-ATH50RD1/B-S INV/ASO-AGUHN50R1/INV,18000
THK-AERONIK-005.jpg,AERONIK,Сплит системы (HS5) серия SUPER,24000
THK-AERONIK-011.jpg,AERONIK,Сплит системы инверторные (IZ1) серия ZIMA (НОВИНКА!),24000
THK-AERONIK-015.jpg,AERONIK,Сплит системы инверторные ( IU3) серия (Antivirus) (НОВИНКА!),24000
THK-AERONIK-020.jpg,AERONIK,Сплит системы инверторные (IU2) серия ANTIVIRUS,24000
THK-AERONIK-025.jpg,AERONIK,Сплит системы инверторные (ILK3) серия LEGEND,24000
THK-AERONIK-030.jpg,AERONIK,Сплит системы инверторные (IM) серия SUPERIONIZER,24000
THK-AERONIK-053.jpg,AERONIK,ASI-AFH71RHS1/B-S INV/ASO-AGUHN71R1/INV,24000
THK-AERONIK-061.jpg,AERONIK,ASI-AKH71R1/B-S INV/ ASO-AGUHN71R1/INV,24000
THK-AERONIK-072.jpg,AERONIK,ASI-ATH71RD1/B-S INV/ASO-AGUHN71R1/INV,24000
THK-AERONIK-054.jpg,AERONIK,ASI-AFH85RHS1/B-S INV/ASO-AGUHN85R1/INV,29000
THK-AERONIK-062.jpg,AERONIK,ASI-AKH85R1/B-S INV/ ASO-AGUHN85R1/INV,29000
THK-AERONIK-073.jpg,AERONIK,ASI-ATH85RD1/B-S INV/ASO-AGUHN85R1/INV,29000
THK-AERONIK-006.jpg,AERONIK,Сплит системы (HS5) серия SUPER,30000
THK-AERONIK-055.jpg,AERONIK,ASI-AFH100RHS1/B-S INV/ASO-AGUHN100R1/INV,34000
THK-AERONIK-063.jpg,AERONIK,ASI-AKH100R1/B-S INV/ ASO-AGUHN100R1/INV,34000
THK-AERONIK-074.jpg,AERONIK,ASI-ATH100RD1/B-S INV/ASO-AGUHN100R1/INV,34000
THK-AERONIK-007.jpg,AERONIK,Сплит системы (HS4),36000
THK-AERONIK-056.jpg,AERONIK,ASI-AFH125RHS1/B-S INV/ASO-AGUHN125R1/INV,43000
THK-AERONIK-064.jpg,AERONIK,ASI-AKH125R1/B-S INV/ ASO-AGUHN125R1/INV,43000
THK-AERONIK-075.jpg,AERONIK,ASI-ATH125RD1/B-S INV/ASO-AGUHN125R1/INV,43000
THK-AERONIK-067.jpg,AERONIK,AEH50A1I / AUHN50A1O,46000
THK-AERONIK-057.jpg,AERONIK,ASI-AFH140RHS1/B-S INV/ASO-AGUHN140R1/INV,48000
THK-AERONIK-065.jpg,AERONIK,ASI-AKH140R1/B-S INV/ ASO-AGUHN140R1/INV,48000
THK-AERONIK-068.jpg,AERONIK,ASI-AEH50XKE3/ASO-AUH50XKE3,48000
THK-AERONIK-076.jpg,AERONIK,ASI-ATH140RD1/B-S INV/ASO-AGUHN140R1/INV,48000
THK-AERONIK-069.jpg,AERONIK,ASI-AEH60XKE3/ASO-AUH60XKE3,52000
THK-AERONIK-058.jpg,AERONIK,ASI-AFH160RHS1/B-S INV/ASO-AGUHN160R1/INV,55000
THK-AERONIK-066.jpg,AERONIK,ASI-AKH160R1/B-S INV/ ASO-AGUHN160R1/INV,55000
THK-AERONIK-077.jpg,AERONIK,ASI-ATH160RD1/B-S INV/ASO-AGUHN160R1/INV,55000
THK-CHERBROOKE-001.jpg,CHERBROOKE,Сплит-система (HR4K1) MISTRAL,7000
THK-CHERBROOKE-007.jpg,CHERBROOKE,Сплит-системы инверторные (UR4K1) MISTRAL (НОВИНКА!),7000
THK-CHERBROOKE-002.jpg,CHERBROOKE,Сплит-система (HR4K1) MISTRAL,9000
THK-CHERBROOKE-008.jpg,CHERBROOKE,Сплит-системы инверторные (UR4K1) MISTRAL (НОВИНКА!),9000
THK-CHERBROOKE-003.jpg,CHERBROOKE,Сплит-система (HR4K1) MISTRAL,12000
THK-CHERBROOKE-009.jpg,CHERBROOKE,Сплит-системы инверторные (UR4K1) MISTRAL (НОВИНКА!),12000
THK-CHERBROOKE-037.jpg,CHERBROOKE,CHERBROOKE MISTRAL (НОВИНКА!),12000
THK-CHERBROOKE-043.jpg,CHERBROOKE,CHERBROOKE 2024,12000
THK-CHERBROOKE-004.jpg,CHERBROOKE,Сплит-система (HR4K1) MISTRAL,18000
THK-CHERBROOKE-010.jpg,CHERBROOKE,Сплит-системы инверторные (UR4K1) MISTRAL (НОВИНКА!),18000
THK-CHERBROOKE-027.jpg,CHERBROOKE,CHERBROOKE MISTRAL (НОВИНКА!),18000
THK-CHERBROOKE-032.jpg,CHERBROOKE,CHERBROOKE 2024,18000
THK-CHERBROOKE-027.jpg,CHERBROOKE,CHERBROOKE MISTRAL (НОВИНКА!),18000
THK-CHERBROOKE-032.jpg,CHERBROOKE,CHERBROOKE 2024,18000
THK-CHERBROOKE-005.jpg,CHERBROOKE,Сплит-система (HR4K1) MISTRAL,24000
THK-CHERBROOKE-011.jpg,CHERBROOKE,Сплит-системы инверторные (UR4K1) MISTRAL (НОВИНКА!),24000
THK-CHERBROOKE-028.jpg,CHERBROOKE,CHERBROOKE MISTRAL (НОВИНКА!),24000
THK-CHERBROOKE-033.jpg,CHERBROOKE,CHERBROOKE 2024,24000
THK-CHERBROOKE-028.jpg,CHERBROOKE,CHERBROOKE MISTRAL (НОВИНКА!),24000
THK-CHERBROOKE-033.jpg,CHERBROOKE,CHERBROOKE 2024,24000
THK-CHERBROOKE-028.jpg,CHERBROOKE,CHERBROOKE MISTRAL (НОВИНКА!),24000
THK-CHERBROOKE-028.jpg,CHERBROOKE,CHERBROOKE MISTRAL (НОВИНКА!),24000
THK-CHERBROOKE-033.jpg,CHERBROOKE,CHERBROOKE 2024,24000
THK-CHERBROOKE-006.jpg,CHERBROOKE,Сплит-система (HR4K1) MISTRAL,30000
THK-CHERBROOKE-029.jpg,CHERBROOKE,CHERBROOKE MISTRAL (НОВИНКА!),36000
THK-CHERBROOKE-034.jpg,CHERBROOKE,CHERBROOKE 2024,36000
THK-CHERBROOKE-029.jpg,CHERBROOKE,CHERBROOKE MISTRAL (НОВИНКА!),36000
THK-CHERBROOKE-034.jpg,CHERBROOKE,CHERBROOKE 2024,36000
THK-CHERBROOKE-029.jpg,CHERBROOKE,CHERBROOKE MISTRAL (НОВИНКА!),36000
THK-CHERBROOKE-034.jpg,CHERBROOKE,CHERBROOKE 2024,36000
THK-CHERBROOKE-030.jpg,CHERBROOKE,CHERBROOKE MISTRAL (НОВИНКА!),48000
THK-CHERBROOKE-035.jpg,CHERBROOKE,CHERBROOKE 2024,48000
THK-CHERBROOKE-030.jpg,CHERBROOKE,CHERBROOKE MISTRAL (НОВИНКА!),48000
THK-CHERBROOKE-035.jpg,CHERBROOKE,CHERBROOKE 2024,48000
THK-CHERBROOKE-030.jpg,CHERBROOKE,CHERBROOKE MISTRAL (НОВИНКА!),48000
THK-CHERBROOKE-030.jpg,CHERBROOKE,CHERBROOKE MISTRAL (НОВИНКА!),48000
THK-CHERBROOKE-035.jpg,CHERBROOKE,CHERBROOKE 2024,48000
THK-CHERBROOKE-031.jpg,CHERBROOKE,CHERBROOKE MISTRAL (НОВИНКА!),60000
THK-CHERBROOKE-036.jpg,CHERBROOKE,CHERBROOKE 2024,60000
THK-CHERBROOKE-031.jpg,CHERBROOKE,CHERBROOKE MISTRAL (НОВИНКА!),60000
THK-CHERBROOKE-036.jpg,CHERBROOKE,CHERBROOKE 2024,60000
THK-CHERBROOKE-031.jpg,CHERBROOKE,CHERBROOKE MISTRAL (НОВИНКА!),60000
THK-CHERBROOKE-031.jpg,CHERBROOKE,CHERBROOKE MISTRAL (НОВИНКА!),60000
THK-CHERBROOKE-036.jpg,CHERBROOKE,CHERBROOKE 2024,60000
THK-MIDEA-036.jpg,Midea,Forest,9000
THK-MIDEA-019.jpg,Midea,NOVA 3-IN-1 ERP 3D DC- Inverter,12000
THK-MIDEA-037.jpg,Midea,Forest,18000
THK-MIDEA-038.jpg,Midea,Forest,24000
THK-THAI-023.jpg,THAICON,Balance,7000
THK-THAI-013.jpg,THAICON,Balance inv,8000
THK-THAI-018.jpg,THAICON,Comfort+,8000
THK-THAI-005.jpg,THAICON,Phantom,9000
THK-THAI-009.jpg,THAICON,Comfort+ inv,9000
THK-THAI-014.jpg,THAICON,Balance inv,9000
THK-THAI-019.jpg,THAICON,Comfort+,9000
THK-THAI-024.jpg,THAICON,Balance,9000
THK-THAI-025.jpg,THAICON,Balance,11000
THK-THAI-006.jpg,THAICON,Phantom,12000
THK-THAI-010.jpg,THAICON,Comfort+ inv,12000
THK-THAI-015.jpg,THAICON,Balance inv,12000
THK-THAI-020.jpg,THAICON,Comfort+,12000
THK-THAI-007.jpg,THAICON,Phantom,17000
THK-THAI-011.jpg,THAICON,Comfort+ inv,17000
THK-THAI-026.jpg,THAICON,Balance,17000
THK-THAI-016.jpg,THAICON,Balance inv,18000
THK-THAI-021.jpg,THAICON,Comfort+,18000
THK-THAI-027.jpg,THAICON,Balance,22000
THK-THAI-008.jpg,THAICON,Phantom,24000
THK-THAI-012.jpg,THAICON,Comfort+ inv,24000
THK-THAI-017.jpg,THAICON,Balance inv,24000
THK-THAI-022.jpg,THAICON,Comfort+,24000
THK-THAI-028.jpg,THAICON,Balance,28000
THK-THAI-029.jpg,THAICON,Balance,36000
